,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,-0.04
2,20,0.0,200,4020,-0.05
3,20,0.0,300,6020,0.01
4,20,0.0,400,8020,0.32
5,20,0.0,500,10020,0.1
6,20,0.0,600,12020,0.12
7,20,1.0,700,14020,0.16
8,20,0.0,800,16020,0.12
9,20,1.0,900,18020,0.15
10,20,0.0,1000,20020,0.37
11,20,0.0,1100,22020,0.39
12,20,1.0,1200,24020,0.41
13,20,1.0,1300,26020,0.42
14,20,1.0,1400,28020,0.76
15,20,1.0,1500,30020,0.78
16,20,1.0,1600,32020,0.74
17,20,0.0,1700,34020,0.62
18,20,0.0,1800,36020,0.74
19,20,1.0,1900,38020,0.75
20,20,2.0,2000,40020,0.83
21,20,1.0,2100,42020,0.79
22,20,1.0,2200,44020,0.99
23,20,1.0,2300,46020,0.98
24,20,1.0,2400,48020,0.95
25,20,1.0,2500,50020,0.97
26,20,2.0,2600,52020,0.9
27,20,1.0,2700,54020,1.01
28,20,2.0,2800,56020,1.01
29,20,1.0,2900,58020,1.07
30,20,2.0,3000,60020,1.06
31,20,1.0,3100,62020,1.0
32,20,1.0,3200,64020,1.12
33,20,2.0,3300,66020,1.02
34,20,1.0,3400,68020,1.1
35,20,2.0,3500,70020,1.11
36,20,2.0,3600,72020,1.0
37,20,2.0,3700,74020,1.18
38,20,1.0,3800,76020,1.31
39,20,1.0,3900,78020,1.1
40,20,2.0,4000,80020,1.21
41,20,1.0,4100,82020,1.26
42,20,1.0,4200,84020,1.28
43,20,2.0,4300,86020,1.25
44,20,2.0,4400,88020,1.36
45,20,1.0,4500,90020,1.3
46,20,2.0,4600,92020,1.29
47,20,1.0,4700,94020,1.48
48,20,2.0,4800,96020,1.34
49,20,2.0,4900,98020,1.52
50,20,1.0,5000,100020,1.56
